video_id,total_wrongs,total_questions,all_wrong_qtypes,n_models,fail_rate
6pAyehzASCI_000063_000073,48.0,8.0,8.0,6.0,1.0
8UjQS55nda0_000003_000013,48.0,8.0,8.0,6.0,1.0
CkZeAJUOF0o_000016_000026,48.0,8.0,8.0,6.0,1.0
lhWW9vm2DuE_000019_000029,48.0,8.0,8.0,6.0,1.0
2mk6JIUcVj8_000509_000519,47.0,8.0,7.0,6.0,0.9791666666666666
63Bl9m0ZB-c_000313_000323,47.0,8.0,7.0,6.0,0.9791666666666666
A-qEndA6c2w_000007_000017,47.0,8.0,7.0,6.0,0.9791666666666666
HAYxSMm1fTo_000084_000094,47.0,8.0,7.0,6.0,0.9791666666666666
R2gBFv94EMw_000024_000034,47.0,8.0,7.0,6.0,0.9791666666666666
TT4JOu1OKJE_000011_000021,47.0,8.0,7.0,6.0,0.9791666666666666
Uh9_cAoMJb0_000007_000017,47.0,8.0,7.0,6.0,0.9791666666666666
VnBZR-yBLXA_000034_000044,47.0,8.0,7.0,6.0,0.9791666666666666
XGcxcy-3NW0_000069_000079,47.0,8.0,7.0,6.0,0.9791666666666666
XuOjzc5lpOc_000001_000011,47.0,8.0,7.0,6.0,0.9791666666666666
_FjKec0Q3Ow_000021_000031,47.0,8.0,7.0,6.0,0.9791666666666666
gqJZ34k2Rrw_000008_000018,47.0,8.0,7.0,6.0,0.9791666666666666
mcOI7jJfrl4_000047_000057,47.0,8.0,7.0,6.0,0.9791666666666666
sG8Edm2LVgg_000000_000010,47.0,8.0,7.0,6.0,0.9791666666666666
yoOKaAjoC0w_000047_000057,47.0,8.0,7.0,6.0,0.9791666666666666
-kYPcMsqn_w_000000_000010,46.0,8.0,7.0,6.0,0.9583333333333334
2NOQh8fV35c_000086_000096,46.0,8.0,7.0,6.0,0.9583333333333334
RpwpUiaLVGg_000073_000083,46.0,8.0,7.0,6.0,0.9583333333333334
XkJeXjy3uzQ_000001_000011,46.0,8.0,7.0,6.0,0.9583333333333334
cEqZIKMP47w_000055_000065,46.0,8.0,7.0,6.0,0.9583333333333334
w3y73GdtCys_000008_000018,46.0,8.0,7.0,6.0,0.9583333333333334
